FNAME,TRIMMER,FASTQCER,ALIGNER,DEDUPER,CALIBRATOR,COUNTER,STATS
EM3_HF_1,trim-galore,fastqc,bsmapz,samtools,no-calibrate,methyldackel,False
EM3_HF_1,trim-galore,fastqc,bsmapz,samtools,no-calibrate,dnmtools,False
EM3_HF_1,trim-galore,fastqc,bsmapz,samtools,no-calibrate,astair,False
EM3_HF_1,trim-galore,fastqc,bsmapz,samtools,no-calibrate,bsgnova,False
EM3_HF_1,trim-galore,fastqc,bwa-meth,samtools,no-calibrate,biscuit,False
EM3_HF_1,trim-galore,fastqc,bwa-meth,samtools,no-calibrate,methyldackel,False
EM3_HF_1,trim-galore,fastqc,bwa-meth,samtools,no-calibrate,dnmtools,False
EM3_HF_1,trim-galore,fastqc,bwa-meth,samtools,no-calibrate,astair,False
EM3_HF_1,trim-galore,fastqc,bwa-meth,samtools,no-calibrate,bsgnova,False
PS3_D6_1,fastp,fastqc,gem3,samtools,no-calibrate,astair,False
PS3_D6_1,fastp,fastqc,gem3,samtools,no-calibrate,rastair,False
PS3_D6_1,fastp,fastqc,gem3,samtools,no-calibrate,biscuit,False
PS3_D6_1,fastp,fastqc,gem3,samtools,no-calibrate,methyldackel,False
PS3_D6_1,fastp,fastqc,gem3,samtools,no-calibrate,dnmtools,False
PS3_D6_1,fastp,fastqc,bowtie2,samtools,no-calibrate,astair,False
PS3_D6_1,fastp,fastqc,bowtie2,samtools,no-calibrate,rastair,False
PS3_D6_1,fastp,fastqc,bowtie2,samtools,no-calibrate,biscuit,False
PS3_D6_1,fastp,fastqc,bowtie2,samtools,no-calibrate,methyldackel,False
PS3_D6_1,fastp,fastqc,bowtie2,samtools,no-calibrate,dnmtools,False
PS3_D6_1,fastp,fastqc,biscuit,samtools,no-calibrate,astair,False
PS3_D6_1,fastp,fastqc,biscuit,samtools,no-calibrate,rastair,False
PS3_D6_1,fastp,fastqc,biscuit,samtools,no-calibrate,biscuit,False
PS3_D6_1,fastp,fastqc,biscuit,samtools,no-calibrate,methyldackel,False
PS3_D6_1,fastp,fastqc,biscuit,samtools,no-calibrate,dnmtools,False
